vertex_order,node_id,latitude,longitude
0,HCMUT_GATE,10.773539119525351,106.6613593305036
1,11,10.776267134282735,106.66357476557762
2,9,10.777162499999996,106.664547
3,10,10.777610599999997,106.6651296
4,117,10.777901950001368,106.6655048500047
5,112,10.76948638025488,106.67049759576014
6,98,10.770910968718981,106.67306340078764
7,28,10.7712689,106.6737429
8,22,10.769598,106.67580570000001
9,29,10.7705892,106.6767106
10,110,10.767866799999997,106.6800643
11,92,10.7700561,106.6821231
12,73,10.769048599999998,106.6832774
13,72,10.768297712966845,106.68441154733034
14,75,10.770417200000379,106.68640930000214
15,61,10.771263950000877,106.68720230000213
16,60,10.772734000001599,106.68857755000408
17,25,10.773600602155337,106.68957499280077
18,68,10.772553147869793,106.69100787516896
19,118,10.77128485053134,106.6933982870242
20,128,10.771146000006839,106.69658594999551
21,130,10.771576999999999,106.697938
22,BEN_THANH_GATE,10.772210782443693,106.69757864713894
