vertex_order,node_id,latitude,longitude
0,HCMUT_GATE,10.773539119525351,106.6613593305036
1,11,10.776267134282735,106.66357476557762
2,9,10.777162499999996,106.664547
3,10,10.777610599999997,106.6651296
4,117,10.777901950001368,106.6655048500047
5,112,10.76948638025488,106.67049759576014
6,98,10.770910968718981,106.67306340078764
7,28,10.7712689,106.6737429
8,8,10.77385849979307,106.67784554794962
9,40,10.777806043998611,106.68168737084548
10,122,10.775952550004014,106.68278854999464
11,23,10.776738844822255,106.6838158233343
12,88,10.775876300000935,106.68523624999855
13,35,10.775265650000922,106.68637184999844
14,63,10.775019400000966,106.68682969999837
15,62,10.774662150000905,106.68750504999858
16,59,10.7742867500039,106.68821949999446
17,25,10.773600602155337,106.68957499280077
18,68,10.772553147869793,106.69100787516896
19,118,10.77128485053134,106.6933982870242
20,128,10.771146000006839,106.69658594999551
21,130,10.771576999999999,106.697938
22,BEN_THANH_GATE,10.772210782443693,106.69757864713894
